"Interval start","All Packets"
0,1.15685e+06
1,1.22533e+06
2,1.19058e+06
3,1.1616e+06
4,1.15262e+06
5,1.13208e+06
6,1.14275e+06
7,1.17629e+06
8,1.15883e+06
9,1.16306e+06
10,1.18397e+06
11,1.15519e+06
12,1.23546e+06
13,1.15504e+06
14,1.19341e+06
15,1.16227e+06
16,1.17477e+06
17,1.12521e+06
18,1.14557e+06
19,1.1062e+06
20,1.13701e+06
21,1.12178e+06
22,1.12006e+06
23,1.12253e+06
24,1.13795e+06
25,1.12376e+06
26,1.14433e+06
27,1.14833e+06
28,1.17042e+06
29,1.12657e+06
30,1.15227e+06
31,1.13827e+06
32,1.1752e+06
33,1.11821e+06
34,1.19184e+06
35,1.2026e+06
36,1.20976e+06
37,1.16947e+06
38,1.14908e+06
39,1.17476e+06
40,1.21763e+06
41,1.12969e+06
42,1.14908e+06
43,1.17143e+06
44,1.17095e+06
45,1.11185e+06
46,1.14109e+06
47,1.1709e+06
48,1.1369e+06
49,1.15716e+06
50,1.11792e+06
51,1.19996e+06
52,1.17061e+06
53,1.13724e+06
54,1.12234e+06
55,1.19791e+06
56,1.15835e+06
57,1.11738e+06
58,1.14186e+06
59,1.15028e+06
60,1.14993e+06
61,1.09976e+06
62,1.17343e+06
63,1.15407e+06
64,1.13908e+06
65,1.13702e+06
66,1.16482e+06
67,1.12761e+06
68,1.13619e+06
69,1.15791e+06
70,1.17542e+06
71,1.16066e+06
72,502987
