"Interval start","All Packets"
0,1.1129e+06
1,1.15913e+06
2,1.13663e+06
3,1.152e+06
4,1.17003e+06
5,1.14952e+06
6,1.1487e+06
7,1.15744e+06
8,1.12887e+06
9,1.16709e+06
10,1.13745e+06
11,1.14836e+06
12,1.1507e+06
13,1.13651e+06
14,1.11464e+06
15,1.19252e+06
16,1.09957e+06
17,1.16168e+06
18,1.14438e+06
19,1.14105e+06
20,1.16446e+06
21,1.15416e+06
22,1.10835e+06
23,1.17965e+06
24,1.12698e+06
25,1.16666e+06
26,1.1421e+06
27,1.12613e+06
28,1.14574e+06
29,1.17032e+06
30,1.12439e+06
31,1.15105e+06
32,1.13346e+06
33,1.19539e+06
34,1.11776e+06
35,1.15833e+06
36,1.13772e+06
37,1.15866e+06
38,1.15313e+06
39,1.16559e+06
40,1.16217e+06
41,1.16892e+06
42,1.14971e+06
43,1.16386e+06
44,1.12643e+06
45,1.17937e+06
46,1.13938e+06
47,1.14501e+06
48,1.14582e+06
49,1.19319e+06
50,1.13332e+06
51,1.16549e+06
52,1.10138e+06
53,1.13949e+06
54,1.19074e+06
55,1.14748e+06
56,1.1531e+06
57,1.14695e+06
58,1.19838e+06
59,1.12831e+06
60,1.13573e+06
61,1.20443e+06
62,1.12942e+06
63,1.19626e+06
64,1.12851e+06
65,1.14879e+06
66,1.15568e+06
67,1.13983e+06
68,1.15969e+06
69,1.05183e+06
