"Interval start","All Packets"
0,329868
1,320880
2,306560
3,332256
4,344784
5,336780
6,307352
7,336136
8,328016
9,349240
10,319940
11,315768
12,319872
13,307496
14,336208
15,328293
16,315344
17,319584
18,328586
19,306992
20,323972
21,324048
22,326568
23,319728
24,319512
25,320180
26,323728
27,319800
28,315272
29,331896
30,341037
31,348952
32,318792
33,315048
34,319512
35,316773
36,319728
37,327360
38,323336
39,349096
40,320021
41,328008
42,327712
43,319522
44,306992
45,322893
46,323976
47,315408
48,318432
49,314904
50,320085
51,317420
52,328072
53,314552
54,332392
55,307781
56,315120
57,329876
58,319296
59,319584
60,320085
61,335632
62,323264
63,344568
64,315624
65,319509
66,327928
67,315056
68,339030
69,327576
70,315837
71,327640
72,317068
73,332176
74,315480
75,307565
76,278860
