timeInSecondsSinceEpoch;source;destination;databytes
1717607709.787977;192.168.1.1.8888;172.23.69.13.59034;d5bdf26774ac
1717607709.788096;192.168.1.1.8888;172.23.69.13.59034;d774962abeca
1717607709.788510;192.168.1.1.8888;172.23.69.13.59034;a8363c081012
1717607709.788759;192.168.1.1.8888;172.23.69.13.59034;d634b5a66c80
1717607709.791859;192.168.1.1.8888;172.23.69.13.59034;29c97d80a929
1717607709.791883;192.168.1.1.8888;172.23.69.13.59034;264cfd071749
1717607709.819707;192.168.1.1.8888;172.23.69.13.59034;000000012764
1717607709.819780;192.168.1.1.8888;172.23.69.13.59034;5929b8d044e9
1717607709.823222;192.168.1.1.8888;172.23.69.13.59034;9ada5260d8c2
1717607709.836651;192.168.1.1.8888;172.23.69.13.59034;2d944c87c1ff
1717607709.836803;192.168.1.1.8888;172.23.69.13.59034;08a133b06d55
1717607709.836857;192.168.1.1.8888;172.23.69.13.59034;01e663a7a789
1717607709.853445;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607709.853480;192.168.1.1.8888;172.23.69.13.59034;b7fc7e6f35ff
1717607709.853758;192.168.1.1.8888;172.23.69.13.59034;c746e7107af7
1717607709.853816;192.168.1.1.8888;172.23.69.13.59034;efee683f71cd
1717607709.853934;192.168.1.1.8888;172.23.69.13.59034;738ce298baf8
1717607709.854056;192.168.1.1.8888;172.23.69.13.59034;d89b58449b85
1717607709.854178;192.168.1.1.8888;172.23.69.13.59034;6ba43cb71fda
1717607709.854313;192.168.1.1.8888;172.23.69.13.59034;61ddf0af601e
1717607709.854428;192.168.1.1.8888;172.23.69.13.59034;ea5106271bbc
1717607709.854553;192.168.1.1.8888;172.23.69.13.59034;ef558cf3f5e3
1717607709.854674;192.168.1.1.8888;172.23.69.13.59034;13ba12064183
1717607709.854794;192.168.1.1.8888;172.23.69.13.59034;79f1a517c3c7
1717607709.854922;192.168.1.1.8888;172.23.69.13.59034;7cf03fce8c91
1717607709.855041;192.168.1.1.8888;172.23.69.13.59034;49770c060aae
1717607709.855163;192.168.1.1.8888;172.23.69.13.59034;12b2f2878ae4
1717607709.855287;192.168.1.1.8888;172.23.69.13.59034;b882cbd80af9
1717607709.855409;192.168.1.1.8888;172.23.69.13.59034;6a1deed8c6e9
1717607709.855533;192.168.1.1.8888;172.23.69.13.59034;eca0fd4e9248
1717607709.855679;192.168.1.1.8888;172.23.69.13.59034;345aff06eb99
1717607709.857015;192.168.1.1.8888;172.23.69.13.59034;620ada961b05
1717607709.890657;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607709.890736;192.168.1.1.8888;172.23.69.13.59034;360a6d884e34
1717607709.890745;192.168.1.1.8888;172.23.69.13.59034;110450b2a875
1717607709.920181;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607709.920240;192.168.1.1.8888;172.23.69.13.59034;061200dfe126
1717607709.920259;192.168.1.1.8888;172.23.69.13.59034;4ece8539a3be
1717607709.920545;192.168.1.1.8888;172.23.69.13.59034;5c15422cf46c
1717607709.920735;192.168.1.1.8888;172.23.69.13.59034;5b2659163c1a
1717607709.920978;192.168.1.1.8888;172.23.69.13.59034;276fff7630d9
1717607709.921228;192.168.1.1.8888;172.23.69.13.59034;7a3a3d6c6ce4
1717607709.921471;192.168.1.1.8888;172.23.69.13.59034;86ec09ef78a7
1717607709.921478;192.168.1.1.8888;172.23.69.13.59034;634587b0be33
1717607709.921717;192.168.1.1.8888;172.23.69.13.59034;da78db098b70
1717607709.921966;192.168.1.1.8888;172.23.69.13.59034;b8bc5072f957
1717607709.922208;192.168.1.1.8888;172.23.69.13.59034;0c285877b71b
