timeInSecondsSinceEpoch;source;destination;databytes
1717607610.223996;192.168.1.1.8888;172.23.69.13.59034;bed8025d9bde
1717607610.224111;192.168.1.1.8888;172.23.69.13.59034;cac4a0997036
1717607610.224232;192.168.1.1.8888;172.23.69.13.59034;9cf942d05e84
1717607610.224334;192.168.1.1.8888;172.23.69.13.59034;7eb0a4303421
1717607610.224456;192.168.1.1.8888;172.23.69.13.59034;d974e9e6a5b3
1717607610.224575;192.168.1.1.8888;172.23.69.13.59034;2cb0e054c208
1717607610.224646;192.168.1.1.8888;172.23.69.13.59034;8a55252cb934
1717607610.255753;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607610.255788;192.168.1.1.8888;172.23.69.13.59034;23ea27d9a477
1717607610.255837;192.168.1.1.8888;172.23.69.13.59034;b4d3dffe43c6
1717607610.256057;192.168.1.1.8888;172.23.69.13.59034;7126b52fbd66
1717607610.256183;192.168.1.1.8888;172.23.69.13.59034;656e4e7b612e
1717607610.258994;192.168.1.1.8888;172.23.69.13.59034;2923d6a9b209
1717607610.259038;192.168.1.1.8888;172.23.69.13.59034;3c738a7e6d3e
1717607610.259089;192.168.1.1.8888;172.23.69.13.59034;6d188c3d1db5
1717607610.288810;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607610.288916;192.168.1.1.8888;172.23.69.13.59034;12fb11138a75
1717607610.289057;192.168.1.1.8888;172.23.69.13.59034;e623a1d42c0f
1717607610.289139;192.168.1.1.8888;172.23.69.13.59034;35ad11d7076c
1717607610.295029;192.168.1.1.8888;172.23.69.13.59034;1bd3f9971b0e
1717607610.295086;192.168.1.1.8888;172.23.69.13.59034;47d74c48a40b
1717607610.295093;192.168.1.1.8888;172.23.69.13.59034;e01e5e3f4061
1717607610.322906;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607610.323255;192.168.1.1.8888;172.23.69.13.59034;b3176f4d7b3a
1717607610.324041;192.168.1.1.8888;172.23.69.13.59034;1b2440294e0a
1717607610.324057;192.168.1.1.8888;172.23.69.13.59034;04d35e37af03
1717607610.324062;192.168.1.1.8888;172.23.69.13.59034;974d63c607c4
1717607610.324499;192.168.1.1.8888;172.23.69.13.59034;f98014879bfd
1717607610.324752;192.168.1.1.8888;172.23.69.13.59034;cea4c8e7f5a5
1717607610.325108;192.168.1.1.8888;172.23.69.13.59034;ac52a702a101
1717607610.325196;192.168.1.1.8888;172.23.69.13.59034;fdb5f0bc7525
1717607610.325268;192.168.1.1.8888;172.23.69.13.59034;a1067bc2d268
1717607610.325324;192.168.1.1.8888;172.23.69.13.59034;8f75af1e9165
1717607610.325428;192.168.1.1.8888;172.23.69.13.59034;879a8c5bbf5e
1717607610.354927;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607610.354998;192.168.1.1.8888;172.23.69.13.59034;27d06e3af962
1717607610.355026;192.168.1.1.8888;172.23.69.13.59034;1518e570c267
1717607610.355112;192.168.1.1.8888;172.23.69.13.59034;cac667a0f92b
1717607610.355307;192.168.1.1.8888;172.23.69.13.59034;961490a24b03
1717607610.355379;192.168.1.1.8888;172.23.69.13.59034;60736f17af11
1717607610.355528;192.168.1.1.8888;172.23.69.13.59034;c2117fe11961
1717607610.355658;192.168.1.1.8888;172.23.69.13.59034;a5efccc82634
1717607610.355818;192.168.1.1.8888;172.23.69.13.59034;c39cb2cf9e00
1717607610.356254;192.168.1.1.8888;172.23.69.13.59034;d107983934c6
1717607610.356338;192.168.1.1.8888;172.23.69.13.59034;cb81f2ec44dd
1717607610.356350;192.168.1.1.8888;172.23.69.13.59034;8294a98e9cb3
1717607610.356494;192.168.1.1.8888;172.23.69.13.59034;6ea95e5b985c
1717607610.356585;192.168.1.1.8888;172.23.69.13.59034;0cbee5674b4a
1717607610.356962;192.168.1.1.8888;172.23.69.13.59034;6f40d410820c
1717607610.357992;192.168.1.1.8888;172.23.69.13.59034;bd363958894e
1717607610.358317;192.168.1.1.8888;172.23.69.13.59034;2246a4415ae5
1717607610.358329;192.168.1.1.8888;172.23.69.13.59034;35ad0d6df9bf
1717607610.388268;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607610.388302;192.168.1.1.8888;172.23.69.13.59034;fac60b2ede60
1717607610.388674;192.168.1.1.8888;172.23.69.13.59034;e0a8936e8035
1717607610.390874;192.168.1.1.8888;172.23.69.13.59034;5b6de1745031
1717607610.390966;192.168.1.1.8888;172.23.69.13.59034;003369eed5ed
1717607610.390981;192.168.1.1.8888;172.23.69.13.59034;56f77b4e3d00
1717607610.391018;192.168.1.1.8888;172.23.69.13.59034;3556a2470721
1717607610.391081;192.168.1.1.8888;172.23.69.13.59034;8101f336671f
1717607610.426191;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607610.426320;192.168.1.1.8888;172.23.69.13.59034;9622b625bac5
1717607610.427789;192.168.1.1.8888;172.23.69.13.59034;4770fa67517e
1717607610.427823;192.168.1.1.8888;172.23.69.13.59034;efdee4f67c38
1717607610.460647;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607610.460766;192.168.1.1.8888;172.23.69.13.59034;633264352f91
1717607610.460775;192.168.1.1.8888;172.23.69.13.59034;70e15814bf3c
1717607610.488335;192.168.1.1.8888;172.23.69.13.59034;00000001219a
