"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=1 Ack=1 Win=1005 Len=2896 TSval=867137389 TSecr=2681674572"
"27","0.033732","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=77913 Ack=1 Win=1005 Len=2896 TSval=867137423 TSecr=2681674607"
"79","0.065522","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=155825 Ack=1 Win=1005 Len=2896 TSval=867137455 TSecr=2681674637"
"134","0.100041","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=233737 Ack=1 Win=1005 Len=2896 TSval=867137489 TSecr=2681674669"
"193","0.136404","192.168.1.1","172.23.69.13","TCP","2728","80 → 50034 [PSH, ACK] Seq=308993 Ack=1 Win=1005 Len=2656 TSval=867137523 TSecr=2681674703"
"213","0.167394","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=388353 Ack=1 Win=1005 Len=1448 TSval=867137556 TSecr=2681674749"
"231","0.200029","192.168.1.1","172.23.69.13","TCP","4416","80 → 50034 [ACK] Seq=463369 Ack=1 Win=1005 Len=4344 TSval=867137589 TSecr=2681674777"
"283","0.234133","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=541281 Ack=1 Win=1005 Len=2896 TSval=867137623 TSecr=2681674803"
"325","0.266209","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=619193 Ack=1 Win=1005 Len=2896 TSval=867137655 TSecr=2681674838"
"378","0.299475","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=697105 Ack=1 Win=1005 Len=2896 TSval=867137689 TSecr=2681674871"
"429","0.333754","192.168.1.1","172.23.69.13","TCP","6824","80 → 50034 [PSH, ACK] Seq=772361 Ack=1 Win=1005 Len=6752 TSval=867137722 TSecr=2681674902"
"477","0.369508","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=848825 Ack=1 Win=1005 Len=8200 TSval=867137758 TSecr=2681674936"
"517","0.400732","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=926737 Ack=1 Win=1005 Len=2896 TSval=867137790 TSecr=2681674973"
"579","0.432618","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=1004649 Ack=1 Win=1005 Len=2896 TSval=867137822 TSecr=2681675008"
"623","0.465941","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=1082561 Ack=1 Win=1005 Len=2896 TSval=867137855 TSecr=2681675038"
"685","0.500155","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=1160473 Ack=1 Win=1005 Len=2896 TSval=867137889 TSecr=2681675069"
"711","0.532351","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=1238385 Ack=1 Win=1005 Len=2896 TSval=867137921 TSecr=2681675105"
"745","0.565658","192.168.1.1","172.23.69.13","TCP","4416","80 → 50034 [ACK] Seq=1312193 Ack=1 Win=1005 Len=4344 TSval=867137955 TSecr=2681675138"
"788","0.598945","192.168.1.1","172.23.69.13","TCP","4416","80 → 50034 [ACK] Seq=1390105 Ack=1 Win=1005 Len=4344 TSval=867137988 TSecr=2681675169"
"837","0.633954","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=1468017 Ack=1 Win=1005 Len=2896 TSval=867138023 TSecr=2681675202"
"888","0.665623","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=1545929 Ack=1 Win=1005 Len=2896 TSval=867138055 TSecr=2681675237"
"928","0.700327","192.168.1.1","172.23.69.13","TCP","4416","80 → 50034 [ACK] Seq=1623841 Ack=1 Win=1005 Len=4344 TSval=867138089 TSecr=2681675269"
"990","0.732348","192.168.1.1","172.23.69.13","TCP","4416","80 → 50034 [ACK] Seq=1701753 Ack=1 Win=1005 Len=4344 TSval=867138121 TSecr=2681675303"
"1016","0.769624","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=1779665 Ack=1 Win=1005 Len=8200 TSval=867138155 TSecr=2681675337"
"1035","0.799892","192.168.1.1","172.23.69.13","TCP","4416","80 → 50034 [ACK] Seq=1853473 Ack=1 Win=1005 Len=4344 TSval=867138189 TSecr=2681675371"
