2024-05-20T08:43:42,826583426+02:00;temperature.gpu=58.5;temperature.cpu=58.534;temperature.env=32.2;humidity=37.4;
2024-05-20T08:43:43,874030484+02:00;temperature.gpu=58.5;temperature.cpu=58.534;temperature.env=32;humidity=37.6;
2024-05-20T08:43:44,920503097+02:00;temperature.gpu=58.5;temperature.cpu=58.534;temperature.env=32;humidity=37.6;
2024-05-20T08:43:45,961431910+02:00;temperature.gpu=58.5;temperature.cpu=58.534;temperature.env=32;humidity=37.6;
2024-05-20T08:43:47,019987604+02:00;temperature.gpu=58.5;temperature.cpu=58.534;temperature.env=32;humidity=37.6;
2024-05-20T08:43:48,063975286+02:00;temperature.gpu=58;temperature.cpu=57.996;temperature.env=32;humidity=37.6;
2024-05-20T08:43:49,098848225+02:00;temperature.gpu=58;temperature.cpu=57.996;temperature.env=31.9;humidity=37.8;
2024-05-20T08:43:50,130162589+02:00;temperature.gpu=58;temperature.cpu=57.996;temperature.env=31.9;humidity=37.8;
2024-05-20T08:43:51,166247977+02:00;temperature.gpu=58;temperature.cpu=57.996;temperature.env=31.9;humidity=37.8;
2024-05-20T08:43:52,214547680+02:00;temperature.gpu=58;temperature.cpu=57.996;temperature.env=31.9;humidity=37.8;
2024-05-20T08:43:53,245738744+02:00;temperature.gpu=58;temperature.cpu=57.458;temperature.env=31.9;humidity=37.8;
2024-05-20T08:43:54,275981765+02:00;temperature.gpu=58;temperature.cpu=57.458;temperature.env=31.8;humidity=38;
2024-05-20T08:43:55,305581047+02:00;temperature.gpu=58;temperature.cpu=57.458;temperature.env=31.8;humidity=38;
2024-05-20T08:43:56,336678316+02:00;temperature.gpu=58;temperature.cpu=57.458;temperature.env=31.8;humidity=38;
2024-05-20T08:43:57,368650163+02:00;temperature.gpu=56.9;temperature.cpu=57.458;temperature.env=31.8;humidity=38;
2024-05-20T08:43:58,397594742+02:00;temperature.gpu=56.9;temperature.cpu=56.92;temperature.env=31.6;humidity=38.1;
2024-05-20T08:43:59,427230699+02:00;temperature.gpu=56.9;temperature.cpu=56.92;temperature.env=31.6;humidity=38.1;
2024-05-20T08:44:00,463300001+02:00;temperature.gpu=56.9;temperature.cpu=56.92;temperature.env=31.6;humidity=38.1;
2024-05-20T08:44:01,497413247+02:00;temperature.gpu=56.9;temperature.cpu=56.92;temperature.env=31.6;humidity=38.1;
2024-05-20T08:44:02,529063334+02:00;temperature.gpu=56.4;temperature.cpu=56.92;temperature.env=31.6;humidity=38.1;
2024-05-20T08:44:03,563740026+02:00;temperature.gpu=56.4;temperature.cpu=56.92;temperature.env=31.5;humidity=38.3;
2024-05-20T08:44:04,607100087+02:00;temperature.gpu=56.4;temperature.cpu=56.92;temperature.env=31.5;humidity=38.3;
2024-05-20T08:44:05,637779270+02:00;temperature.gpu=56.4;temperature.cpu=56.92;temperature.env=31.5;humidity=38.3;
